rule_name,source_ip,destination_ip,port,protocol,action,description
allow-ssl-001,10.0.0.1,10.0.1.1,443,ssl,allow,Allow ssl traffic from source to destinationss
allow-ssl_002,10.0.0.1,10.0.1.2,443,ssl,allow,Allow ssl traffic from source to destinationss
rule_4,10.0.0.1,20.0.0.0,443,tcp,allow,"CH455567 , PB , 20/11/25"
allow-ssl_003,10.0.0.1,10.0.1.2,443,ssl,allow,Allow ssl traffic from source to destinationss
allow-ssl_004,10.0.0.1,10.0.1.2,443,ssl,allow,Allow ssl traffic from source to destinationss
allow-ssl_005,10.0.0.1,10.0.1.2,443,ssl,allow,Allow ssl traffic from source to destinationss
deny-http,10.0.0.2,10.0.1.2,80,web-browsing,deny,deny http traffic from source to destination
add_rule_to_csv,any,8.8.8.8,53,udp,allow,allow dns google
claude_test_001,10.0.0.1,8.8.8.8,80,tcp,allow,claude mcp test rule
deny-test-validation,10.0.0.5,8.8.8.8,80,tcp,deny,test validation
claude-test,10.0.0.1,10.0.0.2,8080,tcp,allow,Test rule for Claude
allow-database-access,172.16.10.25,10.0.5.100,3306,tcp,allow,Allow MySQL database access from app server to database server
Random_Web_Access,192.168.10.0/24,0.0.0.0/0,443,tcp,allow,Random rule - Allow HTTPS traffic from internal network to any destination
